1,26,41,385,30,10.537,2019-06-02,2019-06-02
2,33,45,1651,2,3.694,2019-06-02,2019-06-02
3,51,26,1373,72,10.707,2019-06-02,2019-06-02
4,17,49,703,43,5.273,2019-06-02,2019-06-02
5,3,20,1244,45,4.12,2019-06-02,2019-06-02
6,33,42,1617,4,7.637,2019-06-02,2019-06-02
7,45,11,960,73,12.724,2019-06-02,2019-06-02
8,13,55,451,28,11.882,2019-06-02,2019-06-02
9,18,13,711,25,4.848,2019-06-02,2019-06-02
10,6,6,1815,3,12.49,2019-06-02,2019-06-02
11,50,28,1420,21,18.0,2019-06-02,2019-06-02
12,3,11,734,61,4.914,2019-06-02,2019-06-02
13,44,53,1266,50,12.883,2019-06-02,2019-06-02
14,23,40,1146,66,4.534,2019-06-02,2019-06-02
15,33,19,549,14,7.429,2019-06-02,2019-06-02
16,9,19,1013,79,4.0,2019-06-02,2019-06-02
17,5,47,846,50,6.692,2019-06-02,2019-06-02
18,55,50,1248,39,5.67,2019-06-02,2019-06-02
19,19,21,944,53,7.527,2019-06-02,2019-06-02
20,6,49,896,30,15.096,2019-06-02,2019-06-02
21,45,1,774,22,16.0,2019-06-02,2019-06-02
22,18,29,1550,13,7.69,2019-06-02,2019-06-02
23,18,49,934,52,14.809,2019-06-02,2019-06-02
24,3,15,439,61,10.033,2019-06-02,2019-06-02
25,16,29,574,22,18.13,2019-06-02,2019-06-02
26,50,30,1949,1,5.96,2019-06-02,2019-06-02
27,8,40,513,8,3.0,2019-06-02,2019-06-02
28,27,53,1041,84,2.515,2019-06-02,2019-06-02
29,58,4,48,10,11.317,2019-06-02,2019-06-02
30,34,12,1739,72,17.604,2019-06-02,2019-06-02
31,46,24,1129,42,17.61,2019-06-02,2019-06-02
32,47,48,676,8,5.0,2019-06-02,2019-06-02
33,44,43,1953,19,2.398,2019-06-02,2019-06-02
34,37,2,792,29,7.066,2019-06-02,2019-06-02
35,36,49,728,2,14.094,2019-06-02,2019-06-02
36,39,53,768,49,6.878,2019-06-02,2019-06-02
37,34,15,1444,15,2.355,2019-06-02,2019-06-02
38,29,41,1527,21,9.578,2019-06-02,2019-06-02
39,55,43,892,26,2.7,2019-06-02,2019-06-02
40,10,29,727,20,16.618,2019-06-02,2019-06-02
41,2,30,1036,40,7.975,2019-06-02,2019-06-02
42,29,38,938,77,2.909,2019-06-02,2019-06-02
43,38,46,42,47,12.191,2019-06-02,2019-06-02
44,3,12,210,49,13.101,2019-06-02,2019-06-02
45,20,26,551,98,11.547,2019-06-02,2019-06-02
46,11,31,1668,62,1.812,2019-06-02,2019-06-02
47,25,3,574,48,17.0,2019-06-02,2019-06-02
