1,46,13,219,13,5.348,2019-06-02,2019-06-02
2,13,54,760,30,13.5,2019-06-02,2019-06-02
3,14,30,1308,91,17.0,2019-06-02,2019-06-02
4,22,19,1132,54,1.08,2019-06-02,2019-06-02
5,54,2,333,18,14.296,2019-06-02,2019-06-02
6,49,54,145,90,19.305,2019-06-02,2019-06-02
7,3,29,868,74,4.113,2019-06-02,2019-06-02
8,10,37,1662,0,7.1,2019-06-02,2019-06-02
9,23,31,1394,10,14.149,2019-06-02,2019-06-02
10,15,26,398,50,12.64,2019-06-02,2019-06-02
11,56,17,904,92,1.8,2019-06-02,2019-06-02
12,8,34,393,36,15.454,2019-06-02,2019-06-02
13,46,31,1212,46,13.79,2019-06-02,2019-06-02
14,52,2,1409,19,18.543,2019-06-02,2019-06-02
15,57,46,421,64,6.196,2019-06-02,2019-06-02
16,27,52,1042,16,6.84,2019-06-02,2019-06-02
17,27,35,1879,61,16.086,2019-06-02,2019-06-02
18,36,36,1894,42,10.261,2019-06-02,2019-06-02
19,22,35,990,5,3.2,2019-06-02,2019-06-02
20,60,31,305,1,8.879,2019-06-02,2019-06-02
21,15,37,1289,65,16.507,2019-06-02,2019-06-02
22,39,58,1280,9,19.5,2019-06-02,2019-06-02
23,8,57,908,56,16.035,2019-06-02,2019-06-02
24,55,48,776,38,14.095,2019-06-02,2019-06-02
25,29,42,1614,92,8.442,2019-06-02,2019-06-02
26,60,14,353,91,10.311,2019-06-02,2019-06-02
27,60,33,1488,27,1.546,2019-06-02,2019-06-02
28,58,35,872,0,7.743,2019-06-02,2019-06-02
29,23,57,1428,43,14.418,2019-06-02,2019-06-02
30,55,39,1691,93,14.945,2019-06-02,2019-06-02
31,35,32,1916,52,20.0,2019-06-02,2019-06-02
32,58,23,1283,33,7.69,2019-06-02,2019-06-02
33,21,43,1107,11,18.554,2019-06-02,2019-06-02
34,5,46,1006,85,7.63,2019-06-02,2019-06-02
35,12,39,1995,34,18.092,2019-06-02,2019-06-02
36,30,48,1325,40,14.0,2019-06-02,2019-06-02
37,51,10,451,56,8.024,2019-06-02,2019-06-02
38,46,37,1190,27,19.0,2019-06-02,2019-06-02
39,56,32,1671,33,13.728,2019-06-02,2019-06-02
40,55,45,1390,76,15.464,2019-06-02,2019-06-02
41,2,47,308,38,12.7,2019-06-02,2019-06-02
42,55,7,1072,27,4.203,2019-06-02,2019-06-02
43,1,46,530,1,4.03,2019-06-02,2019-06-02
44,48,41,753,51,7.7,2019-06-02,2019-06-02
45,49,52,1094,25,11.85,2019-06-02,2019-06-02
46,23,3,68,60,15.01,2019-06-02,2019-06-02
47,58,48,1460,16,16.459,2019-06-02,2019-06-02
48,21,4,1507,10,16.157,2019-06-02,2019-06-02
49,1,25,920,28,15.516,2019-06-02,2019-06-02
50,30,11,1401,94,5.048,2019-06-02,2019-06-02
